State_FIPS_Code,County_FIPS_Code,LBW,LBW_Ind,VLBW,VLBW_Ind,Premature,Premature_Ind,Under_18,Under_18_Ind,Over_40,Over_40_Ind,Unmarried,Unmarried_Ind,Late_Care,Late_Care_Ind,Infant_Mortality,Infant_Mortality_Ind,IM_Wh_Non_Hisp,IM_Wh_Non_Hisp_Ind,IM_Bl_Non_Hisp,IM_Bl_Non_Hisp_Ind,IM_Hisp,IM_Hisp_Ind,IM_Neonatal,IM_Neonatal_Ind,IM_Postneonatal,IM_Postneonatal_Ind,Brst_Cancer,Brst_Cancer_Ind,Col_Cancer,Col_Cancer_Ind,CHD,CHD_Ind,Homicide,Homicide_Ind,Lung_Cancer,Lung_Cancer_Ind,MVA,MVA_Ind,Stroke,Stroke_Ind,Suicide,Suicide_Ind,Injury,Injury_Ind,Total_Births,Total_Deaths
37,65,11.8,4,2.5,4,17.6,4,7.9,4,1.3,4,58.5,4,34,4,11.4,4,4,3,16.5,4,-1111.1,-1,8.4,4,3,3,38.2,4,19.4,3,252.1,4,11.6,4,61,3,19.4,3,107.2,4,8.5,3,21.9,3,3936,3083
37,67,9.7,4,2.1,4,14.7,4,4.4,4,2.1,3,39,4,10,3,8.4,4,6,3,15.1,4,6.3,3,6.4,4,2,3,26.3,3,19.8,3,132.7,3,7.3,4,58.6,4,12.9,3,71.2,4,10.2,3,25.1,4,13793,8288
37,69,8.5,3,1.8,4,14.3,4,5.2,4,1.7,4,31.8,4,12.9,3,7.1,3,4.9,3,13.9,4,-1111.1,-1,5.9,4,1.2,3,22.3,3,19.2,3,232.3,4,4.7,4,67.6,4,30.9,4,84.6,4,13.9,4,17.2,3,3223,2151
37,71,9.1,4,1.8,4,12.9,3,4.9,4,1.3,3,37.8,3,18.9,4,8.5,4,7.1,4,15.4,4,9.6,4,6,4,2.5,3,23.6,3,18.9,3,204.5,4,7.7,4,70.2,4,18.1,4,62.8,3,17.4,4,33,4,7654,5865
37,73,10.4,4,1.4,4,14.5,4,4.9,3,1.4,4,36.7,4,14.7,3,8.2,4,7.3,4,-1111.1,-1,-1111.1,-1,5.1,4,3.1,4,36.4,4,27.9,4,205.3,4,10.9,4,61.8,4,47.9,4,75,4,-1111.1,-1,26.3,4,1100,1177
37,75,7,3,1.8,4,11.3,3,7.1,4,1.1,4,18.5,3,9.3,3,3.4,3,2.6,3,-1111.1,-1,-1111.1,-1,1.1,3,2.3,3,22.7,3,22.6,3,182.7,3,12.5,4,70.5,3,35.6,4,47.5,3,14.5,4,22.3,3,976,986
37,77,7.8,4,1.5,4,13.8,4,4.8,4,1.7,4,35.1,4,12.6,3,8,4,3.9,3,18.1,4,-1111.1,-1,4.3,4,3.7,4,29.9,4,22.8,4,182.4,4,5.9,4,68.7,4,19,3,76.6,4,6.6,3,20.6,3,2997,2203
37,79,10.2,4,2.8,4,16.7,4,8.3,4,1,3,46.5,4,18.1,4,11.5,4,5.8,3,19.8,4,-1111.1,-1,7.8,4,3.7,4,31.9,4,18.6,3,191.9,3,5.4,3,63.1,3,35,4,71.8,4,11.2,3,24.9,3,2353,1670
37,81,9.3,4,1.8,4,13.3,4,3.4,3,2.1,4,36.6,4,14,3,8.7,4,4.7,3,15.1,4,8.4,4,6.5,4,2.2,4,27.5,4,19.5,3,146.1,3,8.3,4,56.5,3,13.6,3,63.8,4,10.1,3,25.5,4,17640,10440
37,83,11.4,4,2.3,4,17.9,4,7.8,4,1.5,4,58.7,4,17.3,3,9,3,4.7,3,11,3,-1111.1,-1,6.3,4,2.6,3,30,4,19.7,3,227.5,4,12,4,63.1,3,31.7,4,87.3,4,12.3,4,17.9,3,3790,3310
37,85,8.2,4,1.6,4,12.8,4,5.2,3,1.3,3,35.9,4,19,4,7.9,4,5.3,3,13.2,4,8.6,4,5.7,4,2.2,3,22.5,3,20.6,3,202.3,4,6.9,4,66.7,4,26.3,4,75.3,4,10.7,3,23.1,3,7184,3664
